"성별(1)","특성별(1)",특성별(2),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","소득수준별",중상,1204,79.5,1.3,1186,79.4,1.4,1110,74.6,1.6,1064,77.8,1.6,1054,79.0,1.5,1084,79.8,1.5,1203,79.4,1.2,1229,78.1,1.4,1222,77.7,1.5,1244,79.0,1.4,1176,77.6,1.4,1124,74.4,1.6,1058,76.1,1.6
"전체","소득수준별",상,1215,78.6,1.5,1208,81.1,1.6,1134,79.0,1.6,1081,79.8,1.5,1040,78.3,1.4,1089,80.6,1.4,1198,79.7,1.2,1220,80.1,1.5,1231,79.2,1.5,1239,77.5,1.4,1179,78.8,1.4,1126,75.4,1.7,1050,76.3,1.7
"전체","거주지역(표준화)별",동,4837,79.2,0.7,4794,79.4,0.7,4466,77.8,0.9,4313,77.2,0.8,4198,78.6,0.8,4368,79.0,0.7,4854,80.2,0.7,4994,80.8,0.7,5063,80.3,0.6,4962,79.3,0.7,4662,78.8,0.8,4376,77.8,0.8,4111,79.4,0.7
"전체","거주지역(표준화)별",읍면,1361,78.9,1.3,1214,78.9,1.5,1125,74.5,2.1,1032,75.9,1.7,1002,76.9,1.5,1045,75.5,1.7,1163,73.1,1.8,1129,76.9,2.1,1125,75.7,2.0,1233,78.2,1.9,1199,74.2,1.8,1260,71.1,2.4,1146,74.7,2.8
"전체","소득수준(표준화)별",하,1203,75.8,1.5,1202,75.2,1.6,1079,73.2,1.7,1038,70.9,1.6,1011,74.5,1.5,1049,71.7,1.5,1193,74.7,1.7,1214,75.0,1.5,1236,76.5,1.6,1238,74.7,1.6,1150,68.1,1.6,1128,68.0,2.0,1038,72.2,1.7
"전체","소득수준(표준화)별",중하,1239,78.1,1.4,1183,77.6,1.4,1116,76.9,1.7,1053,75.1,1.6,1039,77.3,1.5,1078,76.2,1.5,1202,77.6,1.6,1217,79.1,1.2,1236,80.8,1.3,1222,75.4,1.4,1162,78.0,1.5,1108,78.0,1.5,1053,78.8,1.4
"전체","소득수준(표준화)별",중,1258,80.3,1.3,1181,81.6,1.5,1087,79.2,1.4,1081,76.9,1.3,1037,76.7,1.4,1082,79.3,1.4,1202,78.2,1.3,1224,82.7,1.2,1243,77.9,1.4,1225,81.3,1.4,1173,79.2,1.5,1123,78.9,1.5,1052,79.9,1.6
"전체","소득수준(표준화)별",중상,1204,81.4,1.2,1186,81.2,1.3,1110,76.8,1.6,1064,79.8,1.4,1054,81.4,1.5,1084,82.2,1.5,1203,81.9,1.1,1229,81.6,1.3,1222,81.0,1.4,1244,82.4,1.3,1176,81.6,1.3,1124,79.1,1.4,1058,80.6,1.4
"전체","소득수준(표준화)별",상,1215,80.5,1.4,1208,82.3,1.6,1134,80.5,1.4,1081,82.3,1.3,1040,80.6,1.4,1089,83.2,1.3,1198,83.1,1.2,1220,83.5,1.3,1231,83.1,1.2,1239,81.9,1.2,1179,83.2,1.2,1126,80.7,1.6,1050,83.0,1.4
"남자","전체",19세이상,2682,87.7,0.7,2552,87.7,0.7,2309,85.5,1.0,2259,85.3,1.0,2155,85.2,0.9,2355,85.5,0.9,2593,86.1,0.8,2722,85.0,0.9,2717,84.9,0.9,2746,85.0,0.9,2630,83.0,0.9,2483,81.3,1.1,2288,82.8,1.0
"남자","전체",19세이상(표준화),2682,88.1,0.6,2552,88.1,0.7,2309,85.8,1.0,2259,85.9,0.9,2155,86.3,0.8,2355,86.6,0.8,2593,87.1,0.8,2722,86.1,0.8,2717,86.1,0.8,2746,86.7,0.8,2630,85.0,0.8,2483,83.3,1.0,2288,84.9,0.9
"남자","연령별1",19-29세,304,96.7,1.0,288,95.3,1.5,253,90.3,2.0,312,91.9,2.1,239,92.1,1.8,335,94.4,1.3,304,92.6,1.9,344,88.1,2.0,359,89.4,1.9,388,92.0,1.6,398,89.5,1.8,325,88.3,2.2,276,88.1,2.3
"남자","연령별1",30-39세,518,94.3,1.2,443,93.7,1.3,389,90.0,1.8,386,90.0,1.6,378,91.3,1.6,299,92.1,1.7,457,93.4,1.4,405,92.1,1.6,416,90.6,1.5,424,92.1,1.5,338,91.6,1.8,284,90.5,1.9,294,89.6,2.2
"남자","연령별1",40-49세,529,89.6,1.6,446,86.5,1.8,401,88.0,2.2,446,88.0,1.7,365,90.2,1.8,397,87.3,1.9,500,87.8,1.5,496,89.4,1.4,477,89.3,1.7,483,88.6,1.6,419,87.2,1.9,435,83.2,2.0,348,87.9,1.7
"남자","연령별1",50-59세,479,84.6,1.9,506,86.9,1.7,434,85.0,2.2,416,84.5,2.0,400,80.4,2.0,485,82.3,1.9,451,85.5,1.9,541,84.0,1.9,500,83.3,2.0,477,81.8,2.1,481,83.3,1.9,422,81.3,2.1,396,83.1,2.5
"남자","연령별1",60-69세,471,74.8,2.6,461,82.3,2.1,432,75.8,2.2,380,77.4,2.7,406,76.0,2.6,460,74.8,2.4,442,77.6,2.2,470,80.9,1.9,500,80.4,2.1,488,81.8,2.1,483,74.8,2.4,480,78.4,2.2,489,80.1,2.0
"남자","연령별1",70세이상,381,61.6,2.7,408,62.3,2.9,400,67.0,2.6,319,61.5,2.8,367,64.5,2.8,379,67.2,2.7,439,63.9,2.5,466,61.6,2.4,465,64.8,2.5,486,62.1,2.7,511,59.7,2.6,537,55.4,2.6,485,59.8,2.5
