식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
버섯류,표고버섯,6.9,0.86,0.06,0.18,0.24,0.73,2.67,10.02,17.89,21.94,34.38,154
과일류,감,184.63,75,0.8,1.45,2.94,26.39,61.58,222.05,313.14,515.93,1106.39,28
과일류,귤,134.32,14.95,1.18,12.92,32.77,52,99.34,156.22,271.09,404.95,453.25,58
과일류,레몬,0.99,0.17,0.07,0.07,0.13,0.3,0.6,0.92,1.58,2.93,3.69,21
과일류,바나나,120.21,13.98,0.12,0.17,0.4,30.83,112.09,165.15,269.84,284.87,401.26,49
과일류,배,57.41,16.37,0.37,0.77,0.95,1.71,5.88,34.15,190.47,339.85,478.41,63
과일류,복숭아,76.66,30.3,0.08,0.22,0.27,0.52,1.11,75.88,269.48,431.88,538.54,35
과일류,사과,87.83,15.17,0.09,0.32,0.49,1.55,11.01,149.05,298.32,328.09,558.64,118
과일류,올리브,5.09,0.9,0.05,0.11,0.3,1.32,3.33,5.78,10.07,12.07,27.94,35
과일류,키위,8.81,3.37,0.05,0.11,0.15,0.57,1.39,2.79,7.77,53.21,130.3,79
과일류,파인애플,18.42,4.55,0.09,0.24,0.34,0.6,1.33,10.7,54.59,70.26,159.02,36
해조류,김,2.64,0.31,0.02,0.15,0.23,0.5,1.54,3.34,5.95,9.7,16.1,205
해조류,"다시마,말린것",0.61,0.07,0,0,0,0.02,0.42,0.88,1.36,1.53,2.54,23
해조류,"미역,마른것",5.03,0.45,0.02,0.06,0.08,2.73,4.85,6.21,9.22,10.89,16.07,60
해조류,다시마국물,59.86,7.3,0.46,1.62,3.55,10.29,30.25,74.97,167.75,240.34,389.08,142
양념류,간장,8.08,0.46,0.07,0.28,0.62,2.1,5.01,10.4,18.83,26.48,48.21,539
양념류,"겨자/와사비,분말",1.08,0.66,0.01,0.02,0.02,0.07,0.23,0.58,2.14,7.02,8.87,27
양념류,"겨자/와사비,페이스트",1.93,0.44,0.01,0.01,0.01,0.04,0.43,2.3,4.08,5.92,16.73,48
양념류,고춧가루,2.91,0.19,0.03,0.11,0.22,0.65,1.67,3.67,6.6,10.28,18.71,471
양념류,고추장,11.26,0.8,0.01,0.19,0.39,2.15,6.82,13.13,26.06,40.34,70.53,389
양념류,굴소스,1.63,0.18,0.1,0.14,0.18,0.27,0.71,1.72,5.24,5.6,7.18,30
양념류,깨소금,0.49,0.06,0.01,0.03,0.05,0.09,0.26,0.55,1.37,1.7,2.11,45
양념류,고기용소스,31.14,5.15,0.02,0.03,0.07,2.44,14.02,42.23,108.24,113.62,117.92,47
양념류,된장,9.76,0.96,0.06,0.21,0.62,3.58,7.68,13.9,20.14,23.08,52.71,155
양념류,"라면/우동,조미스프",7.44,0.53,1.07,1.63,2.3,4.4,5.84,9.83,14.54,17.8,24.83,101
양념류,마요네즈,15.49,1.51,0.37,1.41,1.92,5.36,8.82,20.9,35.75,47.11,74.17,165
양념류,맛술,1.73,0.79,0,0.01,0.02,0.12,0.41,1.1,3.47,4.65,25.27,136
양념류,머스터드소스,5.47,0.8,0.01,0.02,0.05,1.26,4.12,5.7,10.95,14.96,26.72,53
양념류,분말조미료,0.44,0.04,0,0.01,0.02,0.05,0.18,0.55,1.01,2.01,3.08,407
양념류,소금,1.81,0.11,0.04,0.11,0.19,0.45,1.12,2.3,3.94,5.74,9.27,553
양념류,식초,2.51,0.4,0,0.08,0.11,0.27,0.58,3.11,6.23,8.11,21.37,179
양념류,쌈장,14.99,2.02,0.5,0.71,1.2,2.75,5.9,17.02,31.53,60.83,66.03,82
양념류,양념통닭소스,22.94,4.14,0.4,0.95,1.45,2.87,20.72,29.67,34.78,54.23,102.26,40
양념류,우스터소스,8.63,0.93,0.62,1.08,2.49,3.12,6.74,10.73,18.8,19.25,22.33,37
양념류,조미가루,0.11,0.02,0.01,0.01,0.02,0.03,0.05,0.11,0.26,0.4,0.56,25
양념류,토마토케첩,13.84,1.14,0.01,0.61,1.45,2.99,7.87,17.79,31.45,49.39,89.6,200
양념류,"파슬리,마른것",0.08,0,0,0.02,0.02,0.04,0.07,0.08,0.16,0.17,0.2,22
양념류,"후추,분말",0.26,0.02,0,0.01,0.01,0.04,0.12,0.28,0.61,1.01,2.14,431
양념류,춘장,23.01,1.79,2.78,2.99,5.1,11.01,25.74,30.93,38.76,39.67,42.21,32
양념류,효모,0.91,0.11,0.08,0.13,0.18,0.37,0.63,1.13,1.81,2.24,2.95,34
양념류,혼합양념,15.3,2.73,0.39,0.74,1.6,4.76,7.37,18.89,36,52.04,59.52,21
유지(식물),들기름,0.4,0.07,0,0,0.01,0.03,0.1,0.28,0.87,1.71,4.59,255
유지(식물),마가린,0.78,0.45,0,0,0.01,0.04,0.19,0.39,0.99,1.75,10.08,38
유지(식물),쌀겨기름(미강유),0.13,0.09,0,0,0,0.01,0.01,0.03,0.04,0.59,2.47,44
유지(식물),옥수수기름,0.3,0.08,0,0,0,0.01,0.03,0.1,0.3,1.39,4.87,180
유지(식물),올리브유,0.95,0.21,0,0,0,0.01,0.1,0.56,2.28,4.86,14.1,157
유지(식물),유채씨기름/채종유,2.4,0.47,0,0.01,0.02,0.17,0.47,1.44,6.46,8.27,28.82,128
유지(식물),참기름,1.93,0.12,0.01,0.07,0.16,0.42,1.12,2.46,4.34,6.77,11.71,496
유지(식물),콩기름,7.62,0.52,0.03,0.11,0.22,1.11,4.21,10.6,19.28,23.96,54.54,468
유지(식물),해바라기유,0.4,0.23,0,0,0,0.01,0.02,0.07,0.2,0.99,8.67,76
유지(식물),포도씨유,1.13,0.13,0.06,0.06,0.06,0.2,0.6,1.48,2.71,3.88,4.35,20
육류,닭고기,165.8,14.4,0.74,2.62,12.22,46.1,114.06,219.11,344.65,644.7,798.38,157
육류,닭고기튀김,160.83,17.96,3.3,14.09,23.83,49.89,115.83,246.82,274.9,332.32,436.38,42
육류,닭육수,19.55,2.09,0.3,0.3,0.3,0.43,0.49,20.38,55.82,73.07,104.36,20
육류,돼지고기,78.92,4.96,0.44,2.82,7.42,22.56,54.1,107.07,191.74,235.02,412.53,327
육류,"돼지고기,삼겹살",49.88,7.01,0.1,0.3,0.44,1.87,9.78,63.64,157.8,198.59,331.72,160
육류,"돼지고기,부산물",79.85,20.04,0.03,0.03,0.14,12.43,55.53,90.92,165.48,201.06,453.57,39
육류,돈까스/탕수육,32.66,19.08,0.25,0.28,0.52,1.27,4.97,19.63,56.81,68.84,371.18,22
육류,"돼지고기가공품,햄/소시지/베이컨",46.62,4.78,0,1.25,2.65,6.89,22.51,64.57,112.94,168.3,242.36,213
육류,"쇠고기,한우",60.34,6.08,0.31,1.07,2.65,11.07,27.57,72.47,145.99,240.93,395.02,277
육류,"쇠고기,수입우",18.26,8.55,0.08,0.15,0.21,0.31,0.89,2.97,47.88,80.72,194.51,27
육류,"쇠고기,부산물",121.15,19.73,15.55,16.89,35.35,47.67,90.54,146.16,244.26,259.01,324.25,23
육류,"쇠고기,족,사골국물",124.65,27.75,1.31,1.5,2.65,16.02,41.17,147.09,334.01,528.7,821.69,63
난류,달걀,48.51,3.15,0.63,2,3.92,12.29,34.19,59.81,111.88,152.9,263.3,418
어패류,어류국물,115.68,7.14,0.75,1.75,6.29,31.14,84.13,159.06,257.62,346.5,517.97,204
어패류,고등어,43.45,6.05,3.02,6.51,9.79,16.52,33.33,47.5,82.15,126.06,133.79,28
어패류,어패류알,8.96,4.5,0.15,0.15,0.18,0.22,0.75,4.6,18.51,26.48,107.87,39
어패류,어류젓,8.57,1.1,0.16,0.16,0.16,0.44,1.28,6.93,15.44,32.59,49.73,22
어패류,다랑어,40.76,8.52,1.22,1.22,3.23,10.4,17.73,58.17,107.06,112.87,117.52,21
어패류,"생선,통조림",32,6.74,0.03,0.07,0.34,2.51,22.92,41.61,68.21,120.8,178.85,73
어패류,"멸치,자건품",4.91,0.67,0,0.05,0.26,0.91,3.12,5.75,11.29,14.36,30.31,134
어패류,어패류액젓,1.13,0.16,0.01,0.05,0.17,0.25,0.69,1.36,2.19,3.7,6.11,81
어패류,장어,65.56,9.21,2.86,2.91,3.38,8.35,18.08,84.16,151.98,207.16,365.73,20
어패류,어묵,31.67,4.05,0.23,0.59,0.88,2.76,15.94,40.74,80.08,105.81,257.15,164
어패류,"어묵,게맛살",4.42,0.92,0.04,0.16,0.37,0.51,1.34,3.23,9.11,15.57,48.7,105
어패류,"새우/패류,젓",2.63,0.65,0.07,0.08,0.1,0.17,0.8,2.01,6.17,13.14,18.25,49
어패류,바지락조개,7.07,1.03,0.21,0.39,0.58,0.93,2.4,9.88,18.37,27.01,42.96,74
어패류,소라,0.6,0.12,0.05,0.05,0.07,0.15,0.39,1.04,1.36,1.37,1.38,22
어패류,전복,13.16,3.82,0.21,0.23,0.28,0.45,7.18,13.29,28.85,38.59,69.06,21
어패류,홍합/진주담치,6.25,1.05,0.1,0.1,0.33,0.96,1.65,5.42,17.27,26.55,44.25,57
어패류,갑오징어,0.48,0.11,0.07,0.07,0.09,0.11,0.22,0.58,1.17,1.33,1.97,31
어패류,게,22.62,7.31,0.02,0.07,0.16,0.48,1.63,19.34,59.71,72.84,230.27,43
어패류,낙지,59.14,17.27,0.28,0.33,0.44,1.22,13.93,111.68,143.62,158.89,215.47,24
어패류,새우,14.36,2.35,0.04,0.13,0.23,1.76,5,14.27,32.67,69.41,120.66,100
어패류,오징어,21.6,4.85,0.15,0.22,0.62,1.11,6.58,23.58,53.77,93.19,171.82,84
우유류,우유,257.95,12.56,0.67,9.6,47.73,161.55,207.39,311.76,468.44,656.64,737.03,203
우유류,아이스크림,119.23,8.12,3.5,15.43,25.1,75.73,103.57,153.18,216.55,251.27,277.45,65
우유류,"요구르트,액상",79.75,6.52,15.67,23.72,43.63,67.06,67.41,75.55,128.93,150.96,155.84,24
우유류,"요구르트,호상",205.65,19.21,0.47,44.37,64.02,84.39,155.39,314.43,406.05,470,603.32,38
우유류,치즈,20.03,2.74,0.06,0.36,0.76,1.65,10.63,25.05,56.44,68.47,100.65,107
유지(동물),돼지기름,0.42,0.07,0.04,0.07,0.15,0.23,0.27,0.36,0.56,1.17,2.33,31
유지(동물),버터,5.98,1.08,0.03,0.05,0.08,0.31,1.74,7.67,19.31,24.45,32.13,92
