식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류 및 그 제품,귀리,0.28,0.08,0.03,0.03,0.04,0.07,0.18,0.37,0.47,0.71,0.91,26
곡류 및 그 제품,"메밀국수/냉면국수,생것",1.45,0.18,0.09,0.13,0.18,0.6,1.42,1.89,2.59,2.77,4.59,24
곡류 및 그 제품,"메밀국수/냉면국수,말린것",0.36,0.06,0.01,0.01,0.03,0.06,0.12,0.26,0.68,1.9,2.59,20
곡류 및 그 제품,밀가루,0.31,0.04,0,0.01,0.01,0.03,0.12,0.34,0.7,1.1,2.74,151
곡류 및 그 제품,"부침가루,튀김가루,믹스",0.2,0.04,0,0.01,0.01,0.02,0.05,0.26,0.52,0.8,1.42,39
곡류 및 그 제품,빵가루,0.15,0.02,0,0,0.01,0.04,0.11,0.23,0.35,0.42,0.51,54
곡류 및 그 제품,"국수,말린것",1.14,0.16,0.04,0.1,0.17,0.46,0.71,1.31,2.43,3.54,4.27,57
곡류 및 그 제품,"국수,삶은것",1.15,0.09,0.15,0.16,0.28,0.49,0.84,1.2,2.36,3.18,4.91,39
곡류 및 그 제품,라면,1.34,0.07,0.08,0.28,0.39,0.77,1.2,1.87,2.41,2.66,3.06,142
곡류 및 그 제품,우동,1.58,0.16,0.01,0.03,0.05,0.37,1.3,2.48,3.59,3.87,4.16,20
곡류 및 그 제품,"국수,생면",3.07,0.25,0.26,0.47,1.21,1.5,3.02,4.21,5.25,5.85,7.18,31
곡류 및 그 제품,"빵,기타",1.82,0.3,0.24,0.34,0.42,0.67,1.51,2.25,3.8,4.16,6.26,23
곡류 및 그 제품,"과자,비스켓,쿠키",0.62,0.05,0.05,0.07,0.09,0.2,0.47,0.78,1.35,1.55,2.96,87
곡류 및 그 제품,샌드위치,3.26,0.28,0.23,1.05,1.76,2.12,3.04,4.1,5.33,6.18,6.22,44
곡류 및 그 제품,"과자,스낵과자",0.45,0.08,0.02,0.02,0.04,0.09,0.28,0.6,1.01,1.32,1.44,43
