식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
어패류,홍합/진주담치,0.29,0.05,0,0.01,0.02,0.05,0.11,0.47,0.63,0.73,1.24,36
어패류,게,0.42,0.04,0.01,0.01,0.01,0.01,0.05,0.38,1.09,1.57,3.12,29
어패류,새우,0.18,0.05,0,0,0.01,0.02,0.07,0.19,0.4,0.52,1.23,58
어패류,오징어,0.43,0.09,0.01,0.01,0.02,0.06,0.34,0.5,1.01,1.15,2.42,60
우유류 및 그 제품,우유,4.28,0.25,0.01,0.55,1.44,2.44,3.7,5.44,7.73,10.83,13.06,138
우유류 및 그 제품,아이스밀크,1.46,0.11,0.67,0.67,0.77,0.86,1.28,1.73,2.15,3.41,3.61,20
우유류 및 그 제품,아이스크림,2.2,0.12,0.19,0.39,0.6,0.95,1.77,2.51,4.98,5.11,5.69,34
우유류 및 그 제품,"요구르트,액상",2.54,0.21,0.53,0.64,0.84,1.33,2.24,2.9,3.25,6.41,9.69,27
우유류 및 그 제품,"요구르트,호상",1.93,0.16,0,0.17,0.51,1.02,1.75,2.87,3.25,3.29,3.61,38
우유류 및 그 제품,치즈,0.53,0.07,0.01,0.02,0.05,0.14,0.38,0.59,0.8,1.25,4.04,75
유지류(동물성),버터,0.12,0.02,0,0,0,0.02,0.06,0.16,0.28,0.41,0.73,67
