식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류,귀리,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,590
곡류,기장,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,590
곡류,"메밀국수/냉면국수,생것",0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,590
곡류,"메밀국수/냉면국수,삶은것",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,590
곡류,"메밀국수/냉면국수,말린것",0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,590
곡류,묵,0.07,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,590
곡류,밀가루,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.51,1.07,590
곡류,"부침가루,튀김가루,믹스",0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.21,0.68,590
곡류,빵가루,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.39,590
곡류,"국수,말린것",0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.99,2.34,590
곡류,"국수,삶은것",0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.08,590
곡류,라면,0.27,0.03,0.00,0.00,0.00,0.00,0.00,0.00,1.32,1.81,2.93,590
곡류,우동,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,590
곡류,"자장면,인스턴트",0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.02,590
곡류,"국수,생면",0.12,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,590
곡류,"칼국수,생면",0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,590
곡류,"빵,기타",0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.55,590
곡류,"빵,도우넛",0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,590
곡류,"과자,비스켓,쿠키",0.10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.55,2.31,590
곡류,샌드위치,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,590
곡류,"과자,스낵과자",0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.02,590
곡류,"빵,잼,팥소 등",0.10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.06,590
곡류,"빵,식빵",0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,3.02,590
곡류,초코파이,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,590
곡류,"빵,카스테라",0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,590
곡류,케이크,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.86,590
곡류,"케이크,생크림",0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,590
곡류,"빵,크로켓",0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,590
곡류,핫도그,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,590
곡류,햄버거,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,590
곡류,보리,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.28,0.65,590
곡류,수수,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,590
곡류,"떡,팥소,시루떡 등",0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,590
곡류,시리얼,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,590
곡류,현미,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.77,590
곡류,백미,1.68,0.06,0.00,0.00,0.00,0.64,1.42,2.37,3.43,4.30,5.77,590
곡류,찹쌀,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.37,1.58,590
곡류,밥,0.34,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.37,2.43,5.08,590
곡류,"떡,가래떡/백설기",0.16,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.77,3.87,590
곡류,"떡,찹쌀",0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,590
곡류,옥수수,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,590
곡류,옥수수,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.53,590
곡류,조,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.15,590
곡류,만두,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,1.97,590
곡류,"스프,가루,인스턴트",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,590
곡류,"라면,용기면",0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,2.12,590
감자류,감자,0.23,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.78,1.24,3.54,590
감자류,감자칩,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,590
감자류,감자튀김,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.26,590
감자류,고구마,0.10,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,2.57,590
감자류,곤약,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590
감자류,전분,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.57,590
감자류,당면,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.41,590
감자류,"당면,삶은것",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,590
당류,껌,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,590
당류,꿀,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,590
당류,당밀/시럽,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,590
당류,물엿/조청,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.15,0.37,590
당류,사탕,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,590
당류,설탕,0.07,0.01,0.00,0.00,0.00,0.00,0.01,0.07,0.17,0.34,0.78,590
당류,젤리,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,590
당류,초콜릿,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.90,590
당류,"잼,딸기",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,590
당류,"매실,농축액",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.14,590
당류,식초,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.29,590
두류,강낭콩,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,590
두류,"강낭콩,말린것",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,590
두류,대두,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.40,590
두류,두부,0.15,0.02,0.00,0.00,0.00,0.00,0.00,0.04,0.44,0.87,2.32,590
두류,순두부,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,590
두류,유부,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,590
두류,두유,0.13,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.73,590
두류,완두콩,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,590
두류,"팥,말린것",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,590
종실류,들깨,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09,590
종실류,땅콩,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,590
종실류,밤,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590
종실류,아몬드,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,590
종실류,잣,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590
종실류,"깨,검정깨",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590
종실류,"깨,흰깨",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,590
종실류,해바라기씨,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590
종실류,호두,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,590
종실류,호박씨,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590
종실류,아마씨,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,590
채소류,가지,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,590
채소류,고구마줄기,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590
채소류,고사리,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.65,590
채소류,풋고추,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.11,0.27,590
채소류,붉은고추,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,590
채소류,고추장아찌,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,590
