식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류,밀가루,17.98,2.08,0.07,0.16,0.51,1.81,7.73,21.94,48.74,55.29,140.66,205
곡류,"부침가루,튀김가루,믹스",15.38,1.76,0.14,0.38,0.67,1.90,9.18,23.36,41.39,47.72,63.68,85
곡류,빵가루,11.61,1.17,0.00,0.01,0.02,1.87,8.13,16.91,26.29,31.25,42.55,76
곡류,"국수,말린것",59.04,5.02,5.79,8.40,12.03,20.77,45.31,80.24,131.57,149.15,242.45,81
곡류,"국수,삶은것",52.74,6.61,2.74,3.70,5.29,14.99,33.33,56.58,114.32,167.64,277.45,51
곡류,라면,90.34,5.80,2.69,7.21,17.63,45.10,88.19,119.49,160.88,200.67,259.68,119
곡류,우동,104.26,11.34,13.67,13.87,15.29,33.99,54.69,147.79,191.46,217.47,442.59,26
곡류,"국수,생면",216.51,19.69,3.90,6.53,35.32,95.67,114.64,314.61,453.29,491.21,572.70,24
곡류,"빵,기타",97.29,15.08,10.20,14.53,28.12,45.99,58.10,138.70,237.99,257.02,297.80,22
곡류,"과자,비스켓,쿠키",42.50,4.34,0.86,3.24,4.89,11.35,21.81,45.35,81.69,150.61,280.25,95
곡류,"과자,스낵과자",35.18,6.30,0.38,1.09,1.43,4.83,18.33,45.90,84.20,89.44,207.72,64
곡류,"빵,잼,팥소 등",125.54,11.02,8.00,10.79,26.54,77.40,96.19,181.68,232.81,267.30,279.30,35
곡류,"빵,식빵",71.37,7.62,1.34,5.82,16.42,26.58,46.92,94.44,145.13,211.79,300.80,65
곡류,햄버거,215.50,19.51,19.80,27.84,59.51,154.14,213.25,244.43,336.82,358.18,453.53,31
곡류,보리,13.04,1.21,0.36,0.85,1.72,5.09,7.63,16.40,26.41,38.95,87.38,155
곡류,수수,4.66,0.80,0.01,0.02,0.38,0.68,2.79,5.80,11.84,16.43,19.72,38
곡류,시리얼,29.93,4.15,1.67,3.34,4.25,9.62,29.72,36.13,57.47,63.49,73.71,34
곡류,현미,13.55,3.19,0.06,0.26,0.73,2.62,4.45,9.00,38.66,52.50,138.02,103
곡류,백미,128.98,4.40,4.90,17.89,36.02,65.14,109.36,169.60,245.44,287.17,435.59,559
곡류,찹쌀,21.75,5.47,0.02,0.32,1.03,3.53,6.75,17.57,45.49,109.42,157.64,171
곡류,밥,147.12,13.46,6.85,15.92,26.03,61.77,108.81,192.73,292.03,402.44,585.93,104
곡류,"떡,가래떡/백설기",53.90,7.89,0.23,1.26,2.03,5.72,24.41,54.90,162.10,223.43,290.38,114
곡류,옥수수,22.26,3.58,0.33,0.77,1.00,1.98,12.44,31.31,37.50,72.00,132.70,37
곡류,조,2.67,0.43,0.02,0.05,0.11,0.55,1.16,2.95,7.32,10.82,17.33,93
곡류,만두,54.26,8.24,0.23,0.23,0.61,9.23,34.46,67.13,111.04,219.68,257.72,61
곡류,"라면,용기면",91.46,4.83,11.70,34.78,39.94,58.61,91.99,108.56,139.36,169.11,213.13,55
감자류,감자,50.38,6.72,0.29,1.27,2.25,7.71,26.41,55.99,117.11,147.92,388.84,184
