식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류,귀리,0.06,0,0.01,0.01,0.01,0.02,0.04,0.07,0.16,0.22,0.24,21
곡류,"메밀국수/냉면국수,생것",1.18,0.14,0.1,0.12,0.23,0.38,0.82,1.74,2.18,3.32,3.75,23
곡류,"메밀국수/냉면국수,말린것",1.03,0.14,0.02,0.02,0.03,0.05,0.24,2.3,2.57,2.64,3.49,30
곡류,밀가루,0.41,0.07,0,0,0.01,0.03,0.13,0.39,0.99,1.97,3.6,172
곡류,"부침가루,튀김가루,믹스",0.23,0.03,0,0,0.01,0.02,0.08,0.17,0.36,0.67,2.58,31
곡류,빵가루,0.17,0.02,0,0,0.01,0.04,0.1,0.26,0.37,0.57,0.65,66
곡류,"국수,말린것",0.95,0.09,0.03,0.19,0.27,0.45,0.73,1.1,1.87,2.4,4.07,51
곡류,"국수,삶은것",0.99,0.06,0,0.02,0.12,0.64,0.97,1.32,1.66,1.98,2.43,33
곡류,라면,1.32,0.08,0.02,0.18,0.39,0.72,1.17,1.73,2.36,2.7,4.36,133
곡류,우동,1.76,0.43,0.01,0.01,0.02,0.17,1.23,2.04,4.85,5.52,6.65,26
곡류,"과자,비스켓,쿠키",0.62,0.05,0.05,0.11,0.13,0.29,0.5,0.83,1.22,1.34,2.26,100
곡류,샌드위치,2.92,0.17,0.1,0.18,0.79,2.01,2.85,3.84,4.44,5.17,5.76,37
곡류,"과자,스낵과자",0.47,0.1,0.01,0.02,0.02,0.05,0.16,0.54,1.54,1.97,2.45,61
곡류,"빵,잼,팥소등",1.89,0.16,0.25,0.28,0.32,0.65,1.48,2.48,4.39,4.95,5.16,29
곡류,"빵,식빵",1.45,0.26,0.17,0.23,0.33,0.5,0.91,1.58,3.34,4.76,7,64
곡류,케이크,1.88,0.36,0.01,0.08,0.12,0.5,1.53,2.26,3.64,5.62,8.6,25
곡류,보리,0.21,0.02,0,0,0.03,0.07,0.13,0.21,0.43,0.61,1.23,89
곡류,시리얼,0.68,0.06,0,0.01,0.12,0.29,0.44,0.74,1.32,1.92,2.62,30
곡류,현미,0.19,0.02,0,0,0.01,0.05,0.12,0.22,0.33,0.67,1.47,127
곡류,백미,1.93,0.06,0.09,0.39,0.62,1.03,1.58,2.58,3.48,4.72,6.01,501
곡류,찹쌀,0.14,0.01,0,0,0,0.03,0.07,0.2,0.34,0.48,0.89,94
곡류,밥,2.45,0.2,0.09,0.49,0.78,1.39,2.28,3.02,3.88,4.67,9.47,107
곡류,"떡,가래떡/백설기",0.76,0.11,0.01,0.03,0.04,0.07,0.38,1.31,1.77,2.14,3.4,96
곡류,옥수수,0.5,0.09,0,0,0.01,0.04,0.23,0.42,1.62,1.69,3.94,49
