식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류 및 그 제품,귀리,11.68,1.38,0.97,1.55,2.19,2.95,8.6,17.63,23.16,25.99,37.79,36
곡류 및 그 제품,밀가루,26.96,2.85,0.09,0.43,0.85,2.9,10.24,33.43,82.42,110.34,170.08,157
곡류 및 그 제품,"부침가루,튀김가루,믹스",20.01,1.55,0.25,0.43,0.62,1.19,3.39,14.67,30.71,82.14,177.22,32
곡류 및 그 제품,빵가루,12.37,1.23,0.02,0.22,1.42,3.48,7.16,17.79,26.06,32.85,63.17,64
곡류 및 그 제품,"국수,말린것",47.87,6.04,3.51,5.88,6.99,12.92,30.85,57.46,96.24,111,264.99,45
곡류 및 그 제품,"국수,삶은것",60.82,11.65,2.5,10.04,11.14,21.64,47.31,59.87,93.92,161.3,265.86,33
곡류 및 그 제품,라면,94.18,6.13,6.24,16.52,22.47,54.16,96.76,114.79,161.21,200.66,232.37,108
곡류 및 그 제품,"과자,비스켓,쿠키",40.64,4.85,0.38,3.04,6.45,12.61,25.69,53.23,91.43,121.42,195.35,87
곡류 및 그 제품,샌드위치,239.49,8.85,38.3,86.02,135.42,173.16,221.12,254.34,322.87,466.72,544.4,48
곡류 및 그 제품,"과자,스낵과자",38.01,6.13,1.84,1.84,2.28,15.32,28.48,59.59,78.33,87.98,94.48,38
곡류 및 그 제품,"빵,잼,팥소등",85.81,9.1,7.7,8.8,13.29,30.02,68.42,119.96,155.26,208.08,274.83,34
곡류 및 그 제품,"빵,식빵",88.69,10.32,7.1,13.67,18.4,26.18,62.71,133.35,187.27,236.26,289.07,60
곡류 및 그 제품,초코파이,59.45,3,16,16,23.8,31.42,37.69,65.47,95.67,122.23,167.71,21
곡류 및 그 제품,케이크,130.25,21.54,20.7,21.51,37.32,61.39,101.26,147.12,253.14,383.5,427.26,27
곡류 및 그 제품,보리,18.33,2.21,0.57,2.08,2.59,5.74,11.62,20.3,40.98,44.46,86.75,136
곡류 및 그 제품,수수,5.24,1.46,0.47,0.55,0.88,1.08,2.12,4.68,17.97,19.39,20.37,23
