식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
어패류,어류젓,9.48,2.67,0.04,0.12,0.14,0.49,3.98,8.06,18.93,28.36,78.46,35
어패류,다랑어,75.75,8.62,0.98,1.4,3.14,20.87,40.35,87.58,152.24,177.94,364.31,20
어패류,"생선,통조림",35.86,4.81,0.02,0.24,0.39,6.43,24.02,43.72,96.67,110.7,148.81,63
어패류,"멸치,자건품",3.25,0.4,0,0.05,0.08,0.46,1.89,4.21,6.55,10.93,21,115
어패류,어패류액젓,1.26,0.24,0.02,0.03,0.05,0.2,0.52,1.45,3.02,4.49,7.69,88
어패류,어묵,25.25,2.7,0.44,0.88,1.38,2.95,15.75,37.18,61.17,79.56,129.66,135
어패류,"어묵,게맛살",5.35,0.88,0.06,0.32,0.41,0.72,3.02,5.28,9.89,28.57,34.69,91
어패류,"새우/패류,젓",2.31,0.63,0.01,0.01,0.04,0.14,0.46,1.61,5.32,10.47,18.13,46
어패류,바지락조개,9.42,1.27,0.08,0.24,0.99,2.14,5.46,13.57,20.52,25.73,33.24,59
어패류,전복,46.08,27.06,0.61,0.67,2.16,10.73,15.7,24.5,44.48,174.39,290.88,26
어패류,홍합/진주담치,32.28,13.4,0.16,0.8,0.99,2.1,8.14,34.94,70.6,134.1,255.9,48
어패류,게,17.15,5.35,0.07,0.17,0.21,0.58,1.24,11.55,48.97,70.41,164.29,35
어패류,문어,24.77,5.33,0.78,1.13,2.71,3.8,18.73,30.5,46.38,56.71,84.54,20
어패류,새우,34.8,7.5,0.24,0.36,0.58,2.15,6.52,32.47,74.08,147.69,323.01,86
어패류,오징어,24.38,2.96,0.15,1.07,1.35,3.56,11.7,34.67,67.77,81.71,92.69,71
우유류,우유,260.99,14.45,0.24,18.46,62.55,160.12,208.85,364.34,466.73,516.26,824.77,189
우유류,아이스크림,110.17,6.8,10,34.95,49.65,70.23,98.29,120.34,176.45,235.05,339.08,55
우유류,"요구르트,액상",126.47,15.68,31.12,31.27,31.79,56.54,95.42,141.94,206.09,207.71,442.61,22
우유류,"요구르트,호상",152.66,9.2,0.47,23.51,80.64,84.66,147.71,161.93,264.47,287.27,391.65,55
우유류,치즈,17.99,1.97,0.29,1.31,1.98,4.09,11.19,22.77,44.29,56,91.78,102
우유류,크림,84.12,15.87,7.47,8.99,12.22,44.96,53.28,105.73,159.21,209.9,231.42,23
유지(동물),돼지기름,0.55,0.04,0,0,0.01,0.13,0.4,0.56,1.27,1.47,1.62,22
유지(동물),버터,4.98,0.86,0.01,0.08,0.23,0.91,2.65,6.38,10.52,16.71,30.45,105
음료류,"토마토,페이스트",20.93,2.98,0.14,0.59,1.66,6.13,15.3,25.45,50.09,56.72,74.9,50
음료류,과일음료,313.17,32.86,34.6,101.33,112,158.09,207.49,363.21,537.99,854.42,995.49,32
음료류,"음료류,이온음료",394.57,36.52,52,101.22,133.87,215.65,253.93,414.07,628.8,971.21,1309.23,28
음료류,기타탄산음료,423.38,31.89,49.85,85.04,159.94,219.48,372.03,466.52,744.69,993.65,1037.66,38
음료류,사이다,186.19,19.58,0.06,0.2,0.31,6.3,151.16,291.56,441.63,567.2,768.53,78
음료류,콜라,399.35,21.28,2.28,92.95,129.4,209.23,374.12,515.26,625.93,927.04,1227.3,146
음료류,"커피,커피만",2.52,0.63,0.3,0.49,0.76,0.84,1.19,1.85,7.16,9.12,11.18,39
음료류,"커피,침출액",370.17,30.68,15.15,40.48,40.97,66.47,330.66,473.21,709.07,1064.6,1462.77,201
음료류,커피음료,280.8,19.83,151.5,151.5,152.32,185.48,249.33,297.53,435.45,488.6,501.72,20
음료류,"커피,당·프림등첨가",20.67,2.72,0.6,1.14,6.23,11.7,12.34,23.74,41.18,46.12,87.28,38
음료류,식초,4.52,0.74,0,0.03,0.06,0.27,1.44,5.24,9.95,12.5,30.35,170
주류,맥주,564.37,59.99,9.5,99.05,143.1,235.48,385.91,597.98,948.32,1575.14,2636.09,77
주류,소주,341.76,52.1,0.08,0.22,0.58,26.52,329.69,476.59,744.75,1000.19,1466.73,78
주류,청주,19.3,1.54,0.15,0.25,0.47,3.67,6.34,9.65,27.39,39.42,173.2,35
