"성별(1)","특성별(1)",특성별(2),2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","소득수준별",중하,1348,7.3,0.9,1333,9.0,0.9,1383,5.4,0.8,1453,5.3,0.7,1415,5.8,0.8,1403,5.7,0.8,1161,7.1,1.0,1200,5.1,0.8,1181,3.6,0.7
"전체","소득수준별",중,1340,7.8,0.9,1296,11.0,1.3,1395,5.4,0.8,1437,5.8,0.8,1401,6.7,0.9,1454,7.2,0.9,1166,8.0,1.0,1206,4.3,0.7,1187,5.3,0.8
"전체","소득수준별",중상,1358,9.7,1.2,1318,10.3,1.1,1405,5.2,0.9,1453,5.9,0.8,1413,3.6,0.7,1436,6.8,0.8,1116,6.9,0.9,1161,7.4,1.0,1148,6.8,0.9
"전체","소득수준별",상,1365,10.6,1.2,1323,10.8,1.1,1418,6.6,0.8,1375,6.3,0.9,1411,5.6,0.8,1405,7.2,1.0,1182,6.6,1.0,1163,7.3,1.1,1133,7.2,1.0
"전체","거주지역(표준화)별",동,5463,9.1,0.5,5375,10.4,0.6,5682,5.9,0.4,5867,5.9,0.4,5822,6.2,0.4,5769,7.6,0.5,4721,7.4,0.5,4607,6.4,0.5,4542,5.8,0.4
"전체","거주지역(표준화)별",읍면,1338,7.8,1.1,1253,9.8,1.5,1358,6.4,1.2,1300,6.5,1.4,1242,4.1,0.9,1378,6.8,1.3,1087,7.7,1.5,1333,4.1,1.0,1288,6.2,0.8
"전체","소득수준(표준화)별",하,1358,7.8,1.1,1320,8.1,0.9,1412,5.3,0.7,1435,3.7,0.6,1411,6.1,0.8,1422,7.2,1.0,1165,6.0,1.0,1182,4.8,0.8,1173,5.1,0.7
"전체","소득수준(표준화)별",중하,1348,7.5,1.0,1333,9.7,1.0,1383,5.8,0.9,1453,5.8,0.8,1415,6.3,0.9,1403,6.1,0.9,1161,8.1,1.2,1200,5.7,1.0,1181,3.9,0.8
"전체","소득수준(표준화)별",중,1340,8.3,0.9,1296,11.7,1.3,1395,5.7,0.8,1437,6.2,0.8,1401,7.6,1.1,1454,8.1,1.0,1166,8.7,1.2,1206,4.4,0.8,1187,6.2,0.9
"전체","소득수준(표준화)별",중상,1358,10.3,1.3,1318,10.9,1.2,1405,6.1,1.1,1453,6.7,0.9,1413,3.8,0.7,1436,7.8,0.9,1116,7.1,0.9,1161,7.9,1.1,1148,6.7,1.0
"전체","소득수준(표준화)별",상,1365,10.8,1.2,1323,11.5,1.2,1418,7.2,0.9,1375,7.4,1.0,1411,6.1,0.9,1405,7.8,1.1,1182,7.4,1.1,1163,8.3,1.2,1133,7.3,1.0
"남자","전체",1세이상,2976,10.9,0.7,2942,11.9,0.8,3063,7.9,0.6,3233,7.1,0.6,3144,7.0,0.6,3202,8.5,0.6,2612,8.6,0.6,2639,6.4,0.6,2605,6.4,0.6
"남자","전체",19세이상,2199,11.4,0.8,2248,12.8,1.0,2240,8.2,0.7,2483,7.2,0.7,2442,7.4,0.7,2495,8.7,0.7,2084,9.0,0.7,2140,6.8,0.7,2142,6.4,0.6
"남자","전체",1세이상(표준화),2976,11.1,0.7,2942,12.4,0.9,3063,8.3,0.6,3233,7.7,0.6,3144,7.3,0.6,3202,9.2,0.6,2612,9.0,0.7,2639,6.8,0.7,2605,6.7,0.6
"남자","전체",19세이상(표준화),2199,11.8,0.9,2248,13.8,1.1,2240,8.7,0.7,2483,8.0,0.7,2442,7.9,0.7,2495,9.8,0.7,2084,9.7,0.8,2140,7.6,0.8,2142,6.6,0.7
"남자","연령별1",1-9세,428,8.8,1.6,319,6.0,1.3,474,6.6,1.7,429,8.4,1.9,374,3.9,1.2,373,7.2,1.7,273,7.9,2.2,240,4.8,1.5,225,8.5,2.3
"남자","연령별1",10-18세,349,8.6,1.8,375,10.0,1.6,349,7.2,1.7,321,5.4,1.4,328,6.2,1.4,334,7.7,1.7,255,5.4,1.4,259,4.0,1.3,238,5.5,1.3
"남자","연령별1",19-29세,233,12.6,2.7,315,19.2,2.3,264,12.0,2.1,309,7.7,1.8,323,8.0,1.7,323,12.0,2.1,292,6.2,1.5,279,10.0,2.3,257,8.6,1.8
