성별(1),식품군별(1),식품군별(2),2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
성별(1),식품군별(1),식품군별(2),평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차,평균 (g),표준오차
남자,버섯류,소계,5.4,0.5,5.5,0.7,5.4,0.8,5.4,0.4,6.5,0.6,5.7,0.4,6.6,0.5,6.6,0.4,6.0,0.4,7.5,0.6,7.0,0.8,8.0,0.8,5.7,0.4
여자,버섯류,소계,4.9,0.3,5.3,0.5,5.2,0.4,5.6,0.4,6.4,0.5,6.7,0.6,6.6,0.4,5.9,0.4,6.5,0.5,7.1,0.5,7.1,0.6,7.1,0.6,6.8,0.6
전체,양념류,소계,37.4,0.7,37.4,0.8,37.3,0.9,39.0,0.9,40.4,1.0,43.1,1.4,37.3,0.8,37.3,0.8,38.4,0.7,40.0,0.7,38.5,0.8,38.7,1.0,39.8,1.0
남자,양념류,소계,44.9,1.0,44.7,1.1,44.1,1.7,46.1,1.5,47.2,1.8,52.2,2.4,43.6,1.1,43.6,1.1,45.1,1.1,47.3,1.0,44.9,1.2,44.7,1.3,47.7,1.6
여자,양념류,소계,29.8,0.7,29.9,0.8,30.4,0.7,31.6,0.8,33.4,0.9,33.7,1.0,30.7,0.8,30.9,0.8,31.4,0.8,32.4,0.8,31.9,0.9,32.5,1.1,31.6,0.8
전체,어패류,소계,63.5,2.1,62.5,2.2,54.9,1.9,87.2,3.0,98.7,3.4,104.1,4.2,107.2,3.0,110.3,3.9,104.0,3.2,102.3,2.6,91.2,3.2,90.1,2.9,-,-
전체,어패류,어패류(육수외),-,-,-,-,-,-,53.3,2.0,52.6,1.8,57.4,2.7,52.7,1.9,53.7,2.3,48.9,1.5,49.6,1.8,45.0,1.8,44.2,1.6,49.5,1.6
전체,어패류,어패류 육수,-,-,-,-,-,-,33.9,2.2,46.1,2.7,46.8,2.9,54.5,2.4,56.6,3.0,55.1,2.5,52.7,1.9,46.2,2.5,45.9,2.2,-,-
남자,어패류,소계,78.6,3.1,80.6,3.7,67.1,3.2,99.8,4.0,112.3,4.8,119.9,6.3,122.9,4.5,126.4,5.8,121.9,4.4,115.0,3.7,104.6,4.2,102.4,3.9,-,-
남자,어패류,어패류(육수외),-,-,-,-,-,-,62.9,2.8,63.7,2.7,70.4,4.7,64.1,3.1,65.3,3.9,57.5,2.4,56.7,2.3,52.3,2.7,50.8,2.2,57.3,2.4
남자,어패류,어패류 육수,-,-,-,-,-,-,36.9,2.8,48.6,3.7,49.5,3.8,58.8,2.9,61.1,3.8,64.4,3.3,58.4,2.8,52.3,3.2,51.6,3.0,-,-
여자,어패류,소계,48.6,1.9,44.3,1.6,42.8,1.7,74.6,3.3,84.9,3.7,88.3,3.9,91.2,3.3,94.3,3.7,85.7,3.6,89.7,2.8,77.4,3.6,77.5,3.2,-,-
여자,어패류,어패류(육수외),-,-,-,-,-,-,43.9,2.2,41.6,1.7,44.3,2.0,41.1,1.5,42.3,1.9,40.1,1.7,42.6,1.9,37.5,1.9,37.5,1.7,41.7,1.6
여자,어패류,어패류 육수,-,-,-,-,-,-,30.8,2.4,43.4,2.8,44.0,3.3,50.1,3.0,52.0,3.2,45.6,2.8,47.1,2.1,39.9,2.7,40.0,2.5,-,-
전체,우유류,소계,90.3,3.7,82.3,3.0,84.7,3.8,91.3,3.0,83.9,3.2,86.5,3.3,86.6,3.3,87.1,3.1,91.5,3.1,86.6,2.6,85.7,3.5,90.0,3.5,92.1,3.2
남자,우유류,소계,81.2,4.7,80.6,4.5,81.2,5.3,88.4,4.1,80.1,4.6,82.0,5.1,90.5,5.2,77.2,4.0,89.8,4.2,76.2,3.4,75.2,4.8,86.9,5.7,83.3,4.2
여자,우유류,소계,99.7,4.2,83.9,3.0,88.3,4.3,94.5,3.9,87.5,3.3,90.7,4.1,82.5,3.5,97.1,3.9,93.3,3.8,97.5,3.5,96.4,4.1,92.9,3.9,101.3,4.2
전체,유지류,소계,9.1,0.2,9.4,0.2,8.6,0.2,9.2,0.2,9.3,0.2,9.6,0.3,7.6,0.2,7.4,0.2,7.2,0.2,7.3,0.2,6.9,0.2,7.3,0.2,7.2,0.2
남자,유지류,소계,11.3,0.3,11.6,0.3,10.5,0.4,11.0,0.4,10.7,0.3,11.1,0.4,8.6,0.3,8.6,0.3,8.2,0.3,8.4,0.3,7.9,0.3,8.2,0.3,8.3,0.3
여자,유지류,소계,6.9,0.2,7.1,0.2,6.6,0.2,7.4,0.2,7.9,0.3,8.0,0.3,6.5,0.2,6.2,0.2,6.2,0.2,6.2,0.2,5.9,0.2,6.4,0.2,6.0,0.2
전체,육류,소계,107.0,2.8,109.6,3.9,115.0,3.9,113.0,3.1,112.0,2.7,117.2,3.1,132.7,3.9,132.2,4.5,134.0,3.1,139.6,3.3,145.8,4.1,142.1,4.3,-,-
전체,육류,육류(육수외),-,-,-,-,-,-,104.9,3.0,105.6,2.5,109.8,3.1,114.4,3.1,117.7,4.1,118.9,2.9,125.2,3.3,128.4,3.3,125.9,3.9,127.0,3.1
전체,육류,육류 육수,-,-,-,-,-,-,8.0,1.0,6.4,0.9,7.4,1.0,18.3,2.0,14.4,1.4,15.1,1.6,14.4,1.4,17.4,1.7,16.2,1.9,-,-
남자,육류,소계,136.6,4.6,136.3,5.9,146.4,6.2,140.0,5.0,135.7,4.1,144.5,5.3,171.4,6.1,166.2,7.4,168.7,4.8,176.1,5.3,186.7,6.7,180.1,6.5,-,-
남자,육류,육류(육수외),-,-,-,-,-,-,130.6,4.8,128.2,3.8,137.2,5.2,145.9,4.7,149.4,7.1,149.3,4.4,159.2,5.1,165.2,5.3,159.3,5.7,157.3,4.8
남자,육류,육류 육수,-,-,-,-,-,-,9.4,1.5,7.5,1.3,7.3,1.2,25.5,3.7,16.8,2.0,19.4,2.6,16.9,2.4,21.5,3.0,20.8,2.9,-,-
여자,육류,소계,77.2,2.5,82.5,3.9,82.6,3.3,85.1,3.0,87.6,3.0,89.0,3.1,91.9,2.8,96.0,3.7,97.2,3.1,100.8,3.2,102.7,3.5,101.6,3.9,-,-
여자,육류,육류(육수외),-,-,-,-,-,-,78.3,2.8,82.3,2.9,81.3,2.9,81.0,2.5,84.1,3.0,86.6,2.8,88.9,2.8,89.6,2.9,90.3,3.4,95.3,3.0
여자,육류,육류 육수,-,-,-,-,-,-,6.7,0.9,5.3,0.9,7.7,1.3,10.8,1.3,11.9,1.5,10.5,1.2,11.9,1.4,13.1,1.6,11.3,2.2,-,-
전체,음료류,소계,128.4,5.4,129.6,6.3,141.0,6.2,186.2,5.7,192.2,6.1,210.9,7.7,231.8,6.5,229.0,6.1,230.6,6.6,246.7,7.9,254.6,7.4,258.8,8.2,303.7,7.2
남자,음료류,소계,147.8,8.0,141.3,10.8,152.7,8.6,206.7,8.2,214.8,9.1,240.8,11.4,263.4,10.4,252.2,8.9,249.0,9.7,272.4,11.9,278.0,11.6,287.5,12.5,327.0,10.9
여자,음료류,소계,108.5,5.8,118.0,5.5,129.2,7.5,165.0,6.0,168.3,7.9,179.2,8.6,197.8,6.9,204.3,6.7,210.2,7.3,219.2,7.1,230.2,8.6,228.2,8.5,278.9,10.5
전체,종실류,소계,4.8,0.4,5.5,0.9,5.1,0.4,6.9,0.5,8.5,0.6,8.1,0.8,6.9,0.5,7.1,0.9,5.9,0.4,5.7,0.4,5.6,0.4,6.1,0.4,5.3,0.3
남자,종실류,소계,5.1,0.6,6.4,1.8,5.6,0.5,6.4,0.6,8.5,0.9,7.8,1.0,7.5,0.8,7.8,1.4,5.2,0.5,5.4,0.5,5.5,0.6,6.2,0.6,5.3,0.4
여자,종실류,소계,4.6,0.4,4.7,0.4,4.5,0.4,7.4,0.7,8.5,0.7,8.4,1.0,6.2,0.6,6.2,0.5,6.6,0.5,6.0,0.5,5.8,0.6,6.0,0.5,5.3,0.4
전체,주류,소계,177.6,9.8,154.8,10.1,140.2,8.1,168.2,8.4,157.4,8.4,159.3,9.5,146.5,6.9,155.3,9.5,141.9,7.3,130.2,7.6,121.1,7.7,102.5,6.9,89.7,6.0
남자,주류,소계,287.7,17.3,252.9,18.2,221.6,14.0,267.4,14.8,238.1,14.6,247.5,16.5,223.5,12.4,235.3,16.5,196.4,12.2,194.8,12.9,180.5,12.2,135.6,11.3,128.5,10.0
여자,주류,소계,66.5,5.7,56.6,5.4,58.7,5.4,65.9,4.8,74.6,5.8,69.0,6.8,67.8,5.7,72.4,5.7,87.1,7.3,63.5,6.6,59.9,6.1,68.8,7.6,50.4,5.5
전체,채소류,소계,335.1,4.6,328.2,4.5,322.9,5.8,322.6,4.5,331.9,4.2,320.4,4.5,297.7,4.4,303.7,4.1,280.7,3.2,287.3,3.7,279.2,4.1,280.6,4.0,-,-
전체,채소류,채소류(육수외),-,-,-,-,-,-,320.0,4.5,328.4,4.2,317.8,4.4,293.8,4.4,299.8,4.1,275.8,3.2,283.5,3.7,276.0,4.1,276.8,4.0,255.2,3.7
전체,채소류,채소류 육수,-,-,-,-,-,-,2.6,0.6,3.6,0.8,2.7,0.5,3.9,0.5,3.9,0.4,4.9,0.6,3.9,0.4,3.3,0.4,3.8,0.6,-,-
남자,채소류,소계,383.4,5.6,376.7,6.3,361.5,7.8,364.8,6.2,367.3,5.6,364.0,6.6,340.1,6.2,343.5,5.4,321.5,4.8,327.4,5.1,316.0,5.5,317.8,5.6,-,-
남자,채소류,채소류(육수외),-,-,-,-,-,-,361.7,6.0,365.3,5.6,361.5,6.6,335.5,6.1,338.8,5.3,315.9,4.8,323.5,5.1,312.5,5.6,313.5,5.6,288.6,5.0
남자,채소류,채소류 육수,-,-,-,-,-,-,3.1,1.0,2.0,0.4,2.5,0.6,4.6,0.7,4.7,0.6,5.6,0.9,3.9,0.4,3.5,0.5,4.4,0.6,-,-
여자,채소류,소계,287.5,5.6,279.7,4.7,284.8,7.0,280.6,4.9,296.6,5.2,276.4,4.7,255.4,4.4,263.2,4.5,239.3,3.7,246.2,4.0,242.0,4.2,242.6,5.0,-,-
여자,채소류,채소류(육수외),-,-,-,-,-,-,278.5,4.8,291.4,5.1,273.4,4.6,252.2,4.4,260.1,4.5,235.2,3.6,242.3,3.9,239.0,4.1,239.3,4.9,221.3,3.7
여자,채소류,채소류 육수,-,-,-,-,-,-,2.1,0.6,5.2,1.4,3.0,0.8,3.2,0.4,3.1,0.4,4.1,0.6,3.9,0.5,3.0,0.5,3.3,1.0,-,-
전체,총계,소계,1592.9,18.4,1535.6,20.5,1510.0,19.9,1643.5,17.9,1672.0,16.3,1718.1,20.7,1676.9,19.3,1655.2,21.6,1596.9,16.4,1608.7,18.7,1566.5,16.7,1548.5,17.1,-,-
남자,총계,소계,1841.2,25.8,1783.2,31.5,1726.4,28.1,1872.2,28.2,1871.5,25.4,1957.1,31.3,1924.0,28.3,1870.6,31.1,1809.3,25.5,1814.4,26.5,1771.7,24.0,1738.6,26.2,-,-
여자,총계,소계,1344.8,19.2,1287.4,16.5,1292.8,20.0,1410.7,15.3,1467.6,17.7,1473.8,20.9,1423.2,17.5,1432.4,19.6,1377.8,16.9,1395.1,20.0,1355.0,17.2,1350.7,18.8,-,-
전체,해조류,소계,5.1,0.3,4.1,0.2,5.2,0.5,17.1,1.5,26.1,1.9,29.0,2.3,27.5,1.7,27.7,2.0,24.4,1.3,25.6,1.7,23.9,1.6,24.4,1.6,-,-
전체,해조류,해조류(육수외),-,-,-,-,-,-,4.7,0.3,3.6,0.3,4.3,0.3,3.8,0.2,3.3,0.2,3.7,0.2,3.8,0.3,2.9,0.2,3.5,0.2,3.8,0.2
전체,해조류,해조류 육수,-,-,-,-,-,-,12.3,1.4,22.5,1.8,24.8,2.2,23.8,1.7,24.4,2.0,20.7,1.3,21.8,1.6,21.0,1.5,20.9,1.6,-,-
남자,해조류,소계,5.1,0.4,4.2,0.3,5.0,0.6,17.6,1.8,24.0,2.3,28.6,2.5,27.2,1.9,28.7,2.9,26.1,1.8,26.3,2.0,26.5,2.1,27.7,2.3,-,-
남자,해조류,해조류(육수외),-,-,-,-,-,-,4.6,0.4,3.8,0.6,4.4,0.4,3.8,0.3,3.3,0.2,3.7,0.3,4.1,0.4,3.1,0.3,3.8,0.3,3.6,0.3
남자,해조류,해조류 육수,-,-,-,-,-,-,13.0,1.7,20.3,2.1,24.2,2.4,23.3,1.9,25.3,2.9,22.4,1.7,22.3,1.9,23.3,2.1,23.9,2.2,-,-
여자,해조류,소계,5.0,0.4,4.1,0.3,5.5,0.6,16.6,1.7,28.2,2.4,29.7,2.8,28.0,2.2,26.7,1.8,22.9,1.7,25.0,1.9,21.5,1.7,20.8,1.8,-,-
여자,해조류,해조류(육수외),-,-,-,-,-,-,4.9,0.4,3.5,0.2,4.1,0.4,3.7,0.3,3.3,0.2,3.7,0.3,3.5,0.3,2.7,0.2,3.2,0.2,4.0,0.3
여자,해조류,해조류 육수,-,-,-,-,-,-,11.7,1.6,24.7,2.3,25.6,2.8,24.3,2.2,23.4,1.8,19.2,1.6,21.5,1.9,18.8,1.6,17.6,1.8,-,-
