식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류 및 그 제품,귀리,18.9,4.77,1.65,3.02,3.26,4.85,12.97,27.41,34.54,47.72,60.74,27
곡류 및 그 제품,"메밀국수/냉면국수,생것",115.41,14.47,5.36,7.07,16.07,41.7,115.31,144.52,220.29,229.7,314.5,24
곡류 및 그 제품,"메밀국수/냉면국수,말린것",26.82,4.21,0.69,0.69,1.82,5.11,9.2,21.49,50.71,124.53,184.81,20
곡류 및 그 제품,밀가루,20.94,2.75,0.12,0.55,0.95,2.12,8.73,24.4,50.05,72.5,183.85,161
곡류 및 그 제품,"부침가루,튀김가루,믹스",11.84,2.71,0.32,0.74,0.83,1.46,3.15,13.82,24.61,48.11,88.56,40
곡류 및 그 제품,빵가루,10.21,1.21,0.03,0.45,0.71,2.79,7.5,16.4,21.8,23.77,36.89,56
곡류 및 그 제품,"국수,말린것",82.28,11.16,1.93,5.53,10.89,27.7,44.72,111.14,224.21,249.23,296.47,58
곡류 및 그 제품,"국수,삶은것",72.88,5.22,10.64,11.05,17.68,34.16,53.02,67.86,163.27,252.29,271.54,40
곡류 및 그 제품,라면,93.47,5,5.82,17.52,30.75,54.26,94,114.9,164.98,220.16,240.63,152
곡류 및 그 제품,우동,103.01,11.61,1.09,1.58,2.43,18.83,76.15,158.25,211.53,236.07,242.46,20
곡류 및 그 제품,"국수,생면",215.04,19.92,13.01,33.18,62.05,92.9,190.58,288,384.16,415.19,487.07,33
곡류 및 그 제품,"빵,기타",114.1,16.64,14,17.54,20.13,43.49,85.34,156.22,190.94,237.89,373.45,23
곡류 및 그 제품,"과자,비스켓,쿠키",43.01,3.72,3.26,4.94,6.38,12.98,26.95,52.56,100.45,132.14,189.56,91
곡류 및 그 제품,샌드위치,216.41,7.67,19.6,79.06,103.44,176.43,223.46,247.29,305.2,320.98,402.16,46
곡류 및 그 제품,"과자,스낵과자",30.49,4.49,1.4,1.51,2.25,6.12,20.99,43.75,69.29,75.51,104.34,44
곡류 및 그 제품,"빵,잼,팥소등",156.91,28.79,32.2,33.63,43.91,75.45,121.57,182.01,333.49,342.09,357.87,22
곡류 및 그 제품,"빵,식빵",95.34,10.54,5.8,12.91,19.35,38.24,61.35,131.74,208.17,275.54,398.4,68
곡류 및 그 제품,보리,18.55,1.81,1.36,2.33,3.31,4.97,11.65,20.64,44.65,60.53,111.25,128
곡류 및 그 제품,수수,4.17,0.71,0.05,0.11,0.39,1.36,2.79,5.23,6.64,11.62,17.01,21
곡류 및 그 제품,시리얼,35.95,4.09,0.57,2.28,4.9,13.26,31.13,45.09,56.61,86.98,113.78,34
곡류 및 그 제품,현미,15.58,1.95,0.6,1.48,2.17,4.64,8.65,18.82,43.31,51.03,87.14,146
곡류 및 그 제품,백미,111.49,3.9,6.23,14.06,25.4,57.52,97.52,147.86,206.92,262.76,343.42,488
곡류 및 그 제품,찹쌀,9.73,1.81,0.13,0.31,0.61,1.37,3.58,8.63,21.46,36.41,59.68,84
곡류 및 그 제품,밥,150.95,8.74,17.38,45.13,56.54,83.52,127.62,201.75,272.88,348.72,418.03,116
곡류 및 그 제품,"떡,가래떡/백설기",74.14,10.63,0.26,0.9,1.92,9.82,54.5,110.02,154.2,197.45,342.04,105
곡류 및 그 제품,옥수수,34.21,7.23,0.06,0.38,0.58,2.63,5.21,36.23,84.02,166.3,281,36
곡류 및 그 제품,조,2.11,0.32,0.07,0.09,0.19,0.45,1.04,3.13,4.44,6.28,12.73,63
곡류 및 그 제품,만두,80.9,13.25,0.11,0.17,8.47,19.69,60.13,126.49,159.04,193.74,361.19,50
곡류 및 그 제품,"밥,볶음밥/덮밥",185.19,18.42,55.6,65.44,68.3,95.6,137.85,211.51,313.46,390.21,545.52,23
감자 및 전분류,감자,60.76,8.83,0.35,1.1,1.76,6.77,25.19,64.49,140.97,236.4,456.02,192
감자 및 전분류,감자튀김,49.79,3.81,10.1,10.1,14,31.06,40.81,52.54,88.46,93.07,112.29,38
감자 및 전분류,고구마,132.71,44.31,0.3,1.13,1.71,3.62,42.24,167.08,369.28,696.04,735.85,43
감자 및 전분류,전분,13.45,2.14,0.03,0.06,0.13,0.33,6.32,21.1,43.16,49.65,61.36,72
